2014,socialiniai mokslai,9 242
2014,biomedicinos mokslai,5 152
2014,technologijos mokslai,3 279
2014,humanitariniai mokslai,1 888
2014,fiziniai mokslai,1 872
2014,menai,1 108
2015,Socialiniai mokslai,7996
2015,Biomedicinos mokslai,4663
2015,Technologijos mokslai,2989
2015,Fiziniai mokslai,1921
2015,Humanitariniai mokslai,1755
2015,Menai,946
